step,inference
the earth is a planet that rotates on its tilted axis & a planet rotating causes cycles of day and night on that planet,the earth rotating on its tilted axis causes the cycles of day and night on earth
earth is a kind of planet & the sun is a kind of star & the earth revolves around the sun,earth revolving the sun is an example of a planet revolving around its star
earth revolving the sun is an example of a planet revolving around its star & a complete revolution / orbit of a planet around its star takes 1 / one planetary year,a complete revolution of earth around the sun takes an earth year
the earth revolves around the sun & the sun is a kind of star & earth is a kind of planet,earth revolving the sun is an example of a planet revolving around its star
earth revolving the sun is an example of a planet revolving around its star & a complete revolution / orbit of a planet around its star takes 1 / one planetary year,a complete revolution of earth around the sun takes an earth year
the sun setting is a kind of event & the sun rising is a kind of event & the sun rising / setting occurs once per day,the sun rising and setting is the event that occurs once per day
neptune is a kind of planet in the solar system & planets in the solar system orbit the sun,neptune orbits the sun in the solar system
neptune orbits the sun in the solar system & furthest / farthest means greatest / most / highest in distance & neptune is the planet that is furthest to the sun in the solar system,the distance between neptune and the sun it orbits is the greatest in the solar system
"the distance between neptune and the sun it orbits is the greatest in the solar system & as the distance of a planet from the star it orbits increases , the length of a planetary year on that planet will increase",neptune has the longest solar year / planetary year in the solar system
the north pole is located in the northern hemisphere & december is during the winter in the northern hemisphere,the north pole will be in winter during decemeber
the north pole will be in winter during decemeber & it is december 22,it is winter in north pole on december 22
"it is winter in north pole on december 22 & as the distance of a location from the north pole becomes smaller / closer , the amount of daylight received by that location will decrease during the winter",the north pole will receive the least daylight during winter on december 22
new york state is on earth & the sun rises in the east for people on earth,people from new york state will see the sun rise in the east
"new york state is on earth & if a place is on earth, then that place will experience seasons",new york state experiences seasons on earth
new york state experiences seasons on earth & earth 's tilt on its rotating axis causes seasons to occur,earth's tilt on its rotating axis causes seasons to occur in new york state
earth rotating on its tilted axis occurs once per day & earth is a kind of planet,the earth is a planet that rotates on its tilted axis once per day
the earth is a planet that rotates on its tilted axis once per day & a planet rotating causes cycles of day and night on that planet,the earth rotating on its tilted axis causes the cycles of day and night on earth
a complete rotation of the earth on earth 's axis / itself takes 1 / one day & 1 day is equal to 24 hours,a complete rotation of earth takes 24 hours
earth rotating on its tilted axis occurs once per day & earth is a kind of planet,the earth is a planet that rotates on its tilted axis once per day
the earth is a planet that rotates on its tilted axis once per day & a planet rotating causes cycles of day and night on that planet,the earth rotating on its tilted axis causes the cycles of day and night on earth
a complete rotation of earth takes 24 hours & the earth rotating on its tilted axis causes the cycles of day and night on earth,a complete rotation of earth takes 24 hours and causes day and night
earth is a kind of planet & the sun is a kind of star & the earth revolves around the sun,earth revolving the sun is an example of a planet revolving around its star
earth revolving the sun is an example of a planet revolving around its star & a complete revolution / orbit of a planet around its star takes 1 / one planetary year,a complete revolution of earth around the sun takes an earth year
summer is when a hemisphere is tilted towards the sun & the northern hemisphere is a kind of hemisphere of earth,northern hemisphere tilts towards the sun in summer
"northern hemisphere tilts towards the sun in summer & when a hemisphere is tilted towards the sun , that hemisphere receives more direct sunlight",northern hemisphere will receive more direct sunlight in summer
the northern hemisphere is a kind of hemisphere of earth & winter is when a hemisphere is tilted away from the sun,northern hemisphere tilts away the sun in winter
"northern hemisphere tilts away the sun in winter & when a hemisphere is tilted away from the sun , that hemisphere receives less direct sunlight",northern hemisphere will receive less direct sunlight in winter
northern hemisphere will receive more direct sunlight in summer & northern hemisphere will receive less direct sunlight in winter,northern hemisphere receives more direct sunlight in summer than in winter
northern hemisphere receives more direct sunlight in summer than in winter & receiving direct sunlight causes objects to become warm,northern hemisphere will be warmer in summer than in winter
1 month is equal to 27-31 days & a complete revolution / orbit of the moon around the earth takes 1 / one month,a complete revolution of the moon around the earth takes around 27 to 31 days
earth rotating on its tilted axis occurs once per day & earth is a kind of planet,the earth is a planet that rotates on its tilted axis once per day
the earth is a planet that rotates on its tilted axis once per day & a planet rotating causes cycles of day and night on that planet,the earth rotating on its tilted axis causes the cycles of day and night on earth
a complete rotation of the moon takes 1 / one month & rotation is the circular movement of an object around a center / axis,a complete rotation of the moon around its axis takes one month
summer is when a hemisphere is tilted towards the sun & the northern hemisphere is tilted toward the sun,the northern hemisphere is in summer
the northern hemisphere is in summer & the winter in the southern hemisphere is during the summer in the northern hemisphere,the southern hemisphere is in winter
the southern hemisphere is in winter & australia is located in the southern hemisphere,australia is in winter
1 year is equal to 12 months & a complete revolution / orbit of the earth around the sun takes 1 / one year / solar year / earth year,a complete revolution of earth around the sun takes 12 months
a complete revolution of earth around the sun takes 12 months & a complete revolution / orbit of the moon around the earth takes 1 / one month,the moon will have 12 complete revolutions around the earth after a complete revolution of earth around the sun
a complete rotation of the moon takes 1 / one month & the moon rotates on its axis,a complete rotation of the moon on its axis takes one month
summer is when a hemisphere is tilted towards the sun & the northern hemisphere is a kind of hemisphere of earth,the northern hemisphere will experience summer when it is tilted towards the sun
1 year is equal to 365 days & a complete revolution / orbit of the earth around the sun takes one year,a complete revolution of the earth around the sun takes 365 days
a complete revolution of the earth around the sun takes 365 days & a complete rotation of the earth on earth 's axis / itself takes 1 / one day,the earth will complete 365 times of rotation after a complete revolution of the earth around the sun
the solar system contains the moon & the moon is the celestial object that is closest to the earth,the moon is the celestial object that is closest to the earth in the solar system
"the stars in the night sky are very far away from the earth & as distance to an object increases , that object will appear smaller","because the stars are very far away from the earth, they will appear a lot smaller on earth"
a planet is a kind of celestial object / body & earth is a kind of planet,earth is a kind of celestial object
"earth is a kind of celestial object & a star is a kind of celestial object / celestial body & as distance from an object decreases , that object will appear larger","as the distance from a star to earth decreases, the star will appear larger"
"as the distance from a star to earth decreases, the star will appear larger & the sun is the star that is closest to earth",the sun will appear larger than other stars because it is the closest star to earth
a star produces light and heat & a source of something emits / produces / generates / provides that something,a star is a source of light
"a star is a source of light & as the size of a light source increases , that light will appear brighter","as the size of the star increases, the light will appear brighter"
stars are located light years apart from each other & light year is a measure of the distance light travels in one year,the distance between stars are measured in light years
the distance between stars are measured in light years & the sun is a kind of star & proxima centauri is a kind of star,the distance between the sun and proxima centauri is measured in light years
stars are located light years apart from each other & light years ly are an astronomy unit used for measuring length / distance generally used for values between 1 and 27000000000,light year is used to measure the distance between stars
light year is a measure of the distance light travels in one year & an object is 10 light years from earth,the distance between the object and the earth is equal to the distance light can travel in 10 years
light years ly are an astronomy unit used for measuring length / distance generally used for values between 1 and 27000000000 & stars are located light years apart from each other,light year is used to measure the distance between stars
the new moon is when the moon is in between the sun and the earth & the new moon is when the dark half of the moon faces the earth,the new moon is when the moon could block the earth from the sun
the new moon is when the moon could block the earth from the sun & a solar eclipse is when the moon blocks the earth from the sun,a solar eclipse could only happen during the new moon
"if the earth is in between the sun and the moon, then the earth can block the light on the moon & the full moon is when the earth is in between the sun and the moon",the full moon is when the earth can block the light on the moon
the full moon is when the earth can block the light on the moon & an object blocking light causes a shadow,the full moon is when the earth can cause a shadown on the moon
the full moon is when the earth can cause a shadown on the moon & a lunar eclipse is formed by earth 's shadow falling on the moon,the full moon is when a lunar eclipase can happen
a galaxy is held together by gravity & a galaxy is made of stars,a galaxy is made of stars that is held together by gravity
a galaxy is made of stars that is held together by gravity & a galaxy is a kind of very large system of stars,a galaxy is a large system of stars that is held together by gravity
galaxies often contain hundreds of billions of stars & galaxies are usually thousands of light years in diameter & galaxies are located millions of light years from earth,"galaxies often contains billions of stars, and are located millions of light years from earth, and are thousands of light years in diameter"
"galaxies often contains billions of stars, and are located millions of light years from earth, and are thousands of light years in diameter & a galaxy is a kind of celestial body / celestial object & a celestial object has 200 billion stars, 30 million light years from earth, and 500 light years in diameter",the objects  being described are galaxies
spiral is a kind of shape & galaxies can be classified by shape,spiral galaxy is a type of galaxy
spiral galaxy is a type of galaxy & the milky way is spiral in shape & the milky way is a kind of galaxy,the milky way is a kind of spiral galaxy
"a galaxy contains dusts / stars / planets & if something contains something else, then that something is made of that something else","a galaxy is made of dusts, stars, and planets"
"a galaxy is made of dusts, stars, and planets & a galaxy is held together by gravity","a galaxy is made of dusts, stars, and planets held together by gravity"
a space telescope captured images of star clusters that contains billions of stars & galaxies often contain hundreds of billions of stars,the star cluster that captured by the space telescope is a galaxy
a halo is a part of a galaxy & the milky way is a kind of galaxy,a halo is part of the milky way
a halo is part of the milky way & a halo contains mostly old stars,the halo is the part of the milky way that contains mostly old stars
a galaxy is a kind of structure & the milky way is a kind of galaxy,the milky way is a kind of strucutre
the milky way is a kind of strucutre & the sun is located in the milky way galaxy,the sun is located in the structure called milky way galaxy
galaxies often contain hundreds of billions of stars & a galaxy is a kind of structure,galaxies are the structure that contain hundreds of billions of stars
if an object reflects light toward the eye then that object can be seen & a moon is a kind of celestial object / celestial body,if the moon reflects light toward the eye then the moon can be seen
eyes are part of a human for seeing & there are humans on earth,humans on earth can see through their eyes
if the moon reflects light toward the eye then the moon can be seen & humans on earth can see through their eyes & the moon reflects sunlight towards the earth,the moon can be seen by the humans on earth
the moon reflects sunlight towards the earth & the moon orbits the earth,the moon reflects sunlight towards the earth and it orbits the earth
the moon reflects sunlight towards the earth and it orbits the earth & a moon is a kind of satellite,the moon is a satellite that reflects sunlight towards the earth and orbits the earth
the moon is a satellite that reflects sunlight towards the earth and orbits the earth & the solar system contains the moon,the moon is the satellite in the solar system that reflects sunlight towards the earth and orbits the earth
the moon 's surface contains flat areas & the lunar / moon 's surface contains many craters & the moon 's surface contains highlands,"the surface of the moon contains flat areas, highlands, and craters"
the earth 's surface contains many craters & the lunar / moon 's surface contains many craters,both the moon's surface and the earth's surface contain many craters
drier means lower in amount of water / wetness / moisture & the moon has less water / air than the earth,the moon is drier than the earth
earth has air & the moon has no air on it,the difference between the earth and the moon is that the moon has no air on it
mars is a kind of planet & phobos orbits mars,phobos orbits the planet mars
phobos orbits the planet mars & moons orbit planets,phobos is a kind of moon
light reflecting off of an object causes that object to be visible to the observer & the moon reflects sunlight towards the earth & a moon is a kind of celestial object / celestial body,the moon reflecting sunlight towards the earth cause the moon to be visible to the observer
a dwarf planet usually is much smaller in size / in mass than other planets & pluto is a kind of dwarf planet,pluto is a dwarf planet that has much smaller mass than other planets
pluto is a dwarf planet that has much smaller mass than other planets & a dwarf planet is a kind of celestial object,pluto is a celestial object that  has much smaller mass than other planets
"pluto is a celestial object that  has much smaller mass than other planets & as the mass of a celestial object decreases , the surface gravity of that celestial object weakens",pluto will have much less gravity than other planets
our sun is located at the center of our solar system & our solar system is located at the edge of the milky way galaxy,our sun is located at the center of a solar system that is at the edge of the milky way galaxy
a star is a kind of celestial object / celestial body & a star produces light and heat,a star is a celestial object that produces light and heat
a star is a celestial object that produces light and heat & the sun is the star that is closest to earth,the sun is the celestial object that produces light and heat and is closest to earth
a candle is a source of light when it is burned & a source of something emits / produces / generates / provides that something,a candle produces light when it is burned
a candle produces light when it is burned & a star produces light and heat,both candles and stars produce light
plasma is formed by electrons separating from atoms in stars & electrons are pulled away from atoms in a star by high temeprature,plasma will be formed by high temperature pulling electrons away from atoms
plasma will be formed by high temperature pulling electrons away from atoms & plasma is a kind of state of matter,plasma is the state of matter that is formed by high temperature pulling electrons away from atoms
the sun is located near the edge of the milky way galaxy & the sun is average in size for a star in our galaxy,the sun is an average sized star located near the edge of the milky way galaxy
the sun is an average sized star located near the edge of the milky way galaxy & average is similar to medium,the sun is an medium sized star located near the edge of the milky way galaxy
a source of something emits / produces / generates / provides that something & a star is a source of light / light energy through nuclear reactions,a star emits light through nuclear reactions
a star emits light through nuclear reactions & a star is a kind of celestial object / celestial body,a star is a celestial body that emits light through nuclear reactions
a star is a celestial body that emits light through nuclear reactions & astronomical is similar to celestial,a star is an astronomical body that emits light through nuclear reactions
the formation of something is a kind of process & nuclear fusion causes star formation & if something causes a process then that something is required for that process,nuclear fusion is required for star formation
nuclear fusion is required for star formation & if something requires something else then that something else is important to that something,nuclear fusion is important to star formation
the sun is a kind of yellow dwarf & a yellow dwarf is a kind of main sequence star,the sun is a kind of main sequence star
the sun is a kind of main sequence star & alpha mensae is a kind of main sequence star,the sun and alpha mensae are both main sequence star
a yellow dwarf is a kind of main-sequence star & the sun is a kind of yellow dwarf,the sun is a kind of main-sequence star
the sun is a kind of main-sequence star & red giant stars are greater in volume than main sequence stars,red giant stars are greater in volume than the sun
stars are mostly made of hydrogen and helium & stars generally have the same chemical composition,stars generally have the same chemical composition of hydrogen and helium
the sun is a kind of star & hydrogen is the most common element in stars,hydrogen is the most common element in the sun
nuclear fusion is a kind of process & nuclear fusion in a star 's core generates energy for stars to burn / shine,nuclear fusion is the process in a star's core that generates energy for the star
nuclear fusion is the process in a star's core that generates energy for the star & the sun is a kind of star,nuclear fusion is the process in a star's core that generates energy for the sun
"classifying is when one sorts something by kind / type & stars can be classified by temperature, color, and brightness","stars with different temperature, color, brightness will be classified into different types"
"stars with different temperature, color, brightness will be classified into different types & stars change type during their life cycles","stars will change in temperature, color, and brightness during their life cycles"
nuclear fusion in a star 's core generates energy for stars to burn / shine & the sun is a kind of star,nuclear fusion in the core of the sun generates energy for the sun
nuclear fusion in the core of the sun generates energy for the sun & nuclear fusion converts hydrogen into helium,the nuclear fusion in the core of the sun converts hydrogen into helium
the sun is a kind of star & nuclear fusion happens in the core of a star,nuclear fusion happens in the core of the sun
nuclear fusion happens in the core of the sun & the core is a kind of layer of the sun,nuclear fusion happens in the core layer of the sun
blue stars are the hottest in temperature & blue is a kind of color,stars that are blue in color are hottest in temperature
earth is a kind of planet & the mass of a planet causes the pull of gravity on that planet,the mass of the earth causes the pull of gravity on earth
a solid object is taken from earth into space & the force of gravity is different in space from the force of gravity on earth,the force of gravity on the solid object will change
"the force of gravity on the solid object will change & as the force of gravity changes , the weight of the object will change",the weight of the solid object will change
"as the mass of a celestial object decreases , the surface gravity of that celestial object weakens & as the force of gravity decreases , the weight of the object will decrease","as the mass of a celestial object decreases, the weight of an object on that celestial object will decrease"
"as the mass of a celestial object decreases, the weight of an object on that celestial object will decrease & the earth has more mass than the moon",an object weighs more on earth than on the moon because earth has more mass than the moon
an object weighs more on earth than on the moon because earth has more mass than the moon & less is the opposite of more,an object will weigh less on the moon than on the earth because the moon has less mass than the earth
an object will weigh less on the moon than on the earth because the moon has less mass than the earth & a hammer is a kind of object,a hammer will weigh less on the moon than on earth becasue the moon has less mass than the earth
a rocket is a kind of object & the rocket escapes the gravitational pull of earth & earth is a kind of planet,the rocket escaping the gravitational pull of earth is an example of an object escaping the gravitational pull of a planet
"the rocket escaping the gravitational pull of earth is an example of an object escaping the gravitational pull of a planet & if an object escapes the gravitational pull of a planet, then the force of gravity on that object will change",the force of gravity on the rocket changes when it escapes the gravitational pull of earth
"the force of gravity on the rocket changes when it escapes the gravitational pull of earth & as the force of gravity changes , the mass of the object will stay the same",the mass of the rocket will stay the same after the rocket escapes the gravitational pull of earth
"the force of gravity on the rocket changes when it escapes the gravitational pull of earth & as the force of gravity changes , the weight of the object will change",the weight of the rocket will change after the rocket escapes the gravitational pull of earth
the mass of the rocket will stay the same after the rocket escapes the gravitational pull of earth & the weight of the rocket will change after the rocket escapes the gravitational pull of earth,the mass of the rocket will stay the same and the weight of the rocket will change after the rocket escapes the gravitational pull of earth
earth is a kind of planet & mars is a kind of planet & earth is greater in mass than mars,earth is a planet that has a greater mass than the planet mars
"earth is a planet that has a greater mass than the planet mars & as mass of a planet / of a celestial body increases , the force of gravity on that planet will increase",the force of gravity on earth will be greater than on mars
"the force of gravity on earth will be greater than on mars & as the force of gravity increases , the weight of objects will increase",objects will weigh more on earth than on mars because the force of gravity is greater on earth than on mars
mars is a kind of planet & earth is a kind of planet & earth is greater in mass than mars,earth is a planet that has a greater mass than the planet mars
"earth is a planet that has a greater mass than the planet mars & as mass of a planet increases , the force of gravity on that planet will increase",the force of gravity on earth will be greater than on mars
"the force of gravity on earth will be greater than on mars & as the force of gravity decreases , the weight of the object will decrease",objects will weigh less on mars than on earth because the force of gravity is less on mars
the force of gravity on earth will be greater than on mars & gravitational force is similar to force of gravity & the gravitational force of a planet does not change the mass of an object on that planet or celestial body,objects will have the same mass on earth and on mars
objects will weigh less on mars than on earth because the force of gravity is less on mars & objects will have the same mass on earth and on mars,objects will weigh less and have the same mass on mars than on earth
the mars rover is a kind of vehicle & a vehicle is a kind of object,the mars rover is a kind of object
objects will weigh less and have the same mass on mars than on earth & the mars rover is a kind of object,the mars rover will weigh less and have the same mass on mars than on earth
"the gravitational force of a celestial object does not change the mass of an object on that planet or celestial body & as the mass of a celestial object decreases , the surface gravity of that celestial object weakens","as the mass of celestial object decreases, the mass of the object on the celestial object will stay the same"
"as the mass of a celestial object decreases , the surface gravity of that celestial object weakens & as the force of gravity decreases , the weight of the object will decrease","as the mass of a celestial object decreases, the weight of an object on that celestial object will decrease"
the earth has more mass than the moon & a moon is a kind of celestial object & earth is a kind of celestial object,earth as a celestial object has more mass than the moon as a celestial object
earth as a celestial object has more mass than the moon as a celestial object & less is the opposite of more,the moon as a celestial object has less mass than earth as a celestial object
"as the mass of celestial object decreases, the mass of the object on the celestial object will stay the same & as the mass of a celestial object decreases, the weight of an object on that celestial object will decrease & the moon as a celestial object has less mass than earth as a celestial object",an object will weigh less but have the same mass on the moon than on earth
an object will weigh less but have the same mass on the moon than on earth & a rocket is a kind of object,the rocket will weigh less but have the same mass on the moon than on earth
"as the force of gravity decreases , the weight of the object will decrease & as the mass of a celestial object decreases , the surface gravity of that celestial object weakens","as the mass of a celestial object decreases, the weight of an object on that celestial object will decrease"
"as the mass of a celestial object decreases, the weight of an object on that celestial object will decrease & the earth has more mass than the moon",an object weighs more on earth than on the moon because earth has more mass than the moon
an object weighs more on earth than on the moon because earth has more mass than the moon & less is the opposite of more,an object will weigh less on the moon than on the earth because the moon has less mass than the earth
an object will weigh less on the moon than on the earth because the moon has less mass than the earth & an astronaut is a kind of object,an astronaut will weigh less on the moon than on earth because the moon has less mass than the earth
getting information sometimes requires observing / observation & a telescope is used for observing stars by astronomers,getting information about stars requires using a telescope
getting information about stars requires using a telescope & a computer is used for communication / finding information,a telescope and a computer can be used to getting information about stars and communicate the information
a moon is a kind of celestial object / celestial body & detailed observation of celestial objects requires a telescope & a planet is a kind of celestial object / celestial body & a star is a kind of celestial object / celestial body,"detailed observation of planets, stars, and moons requires a telescope"
"as light pollution increases , seeing the stars will be harder & a telescope is used for observing stars","as light pollution increases, using telescope to see the stars will be harder"
"as light pollution increases, using telescope to see the stars will be harder & as distance to a city decreases , the amount of light pollution will increase","as distance to a city decreases, the increased light pollution will make using telescope to see stars harder"
making discoveries requires observing & a telescope is used for observing the sky by astronomers,making discoveries about the sky requires using a telescope to observe the sky
using a telescope to photograph solar events requires a light filter & a solar flare is a kind of solar event & a solar prominence is a kind of solar event,using a telescope to photograph a solar prominence and a solar flare requires a light filter
a telescope is used for observing planets & venus is a kind of planet,a telescope can be used for observing venus
a telescope can be used for observing venus & venus has moon-like phases,a telescope can be used to observe the moon-like phases of venus
an optical telescope requires visible light for human to use & clouds / dusts block visible light,"if there is clouds or dusts, then the optical telescope cannot be used"
"if there is clouds or dusts, then the optical telescope cannot be used & radio telescopes can see through clouds and dust",the radio telescopes can still be used when there is clouds or dusts
detailed observation of celestial objects requires a telescope & if something is required for something else then that something allows that something else,telescopes allow the detailed observation of celestial objects
telescopes allow the detailed observation of celestial objects & a planet is a kind of celestial object / celestial body,telescopes allow the detailed observation of planets
a moon phase occurs 28 days after the last time it occurred & a full moon is a kind of phase of the moon,a full moon will occur 28 days after the last time it occurs
a full moon will occur 28 days after the last time it occurs & 1 month is equal to 28-31 days,a full moon will occur after 1 month it occurs
the new moon is when the dark half of the moon faces the earth & a new moon is a kind of phase of the moon & the new moon is when the lighted half of the moon faces the sun,the moon phase where the lighted half of the moon faces the sun and dark half of the moon faces the earth is called new moon
each of the moon 's phases occurs once per month & a full moon is a kind of phase of the moon,a full moon occurs once per month
the new moon is when the dark half of the moon faces the earth & the dark half of the moon is not visible,new moon is when the moon cannot be seen
new moon is when the moon cannot be seen & a new moon is a kind of phase of the moon & a student cannot observe the moon in the clear night sky on feburary 21,the student observes a new moon phase on feburary 21
the student observes a new moon phase on feburary 21 & a moon phase occurs 28 days after the last time it occurred,the next new moon will occur 28 days after feburary 21
the next new moon will occur 28 days after feburary 21 & 28 days after feburary 21 is march 21,the next new moon will occur on march 21
the moon revolving around / orbiting the earth causes the phases of the moon & the moon orbiting the earth occurs once per month,each of the moon 's phases of earth's moon occurs once per month
the earth revolves around the sun & a revolution occurs when something revolves around something else,revolution can be used to describe the earth revolving around the sun
gravity causes orbits & planets in the solar system orbit the sun,gravity causes the planets in the solar system to orbit the sun
gravity causes orbits & planets in the solar system orbit the sun,gravity causes the planets in the solar system to orbit the sun
mars is a kind of planet & mars is located in the solar system,mars is a planet in the solar system
gravity causes the planets in the solar system to orbit the sun & mars is a planet in the solar system,gravity causes mars to orbit around the sun
gravity causes orbits & the earth revolves around the sun,gravity causes the earth to revolve around the sun
gravity causes orbits & the moon orbits the earth,gravity causes the moon to orbit the earth
gravity causes the earth to revolve around the sun & gravity causes the moon to orbit the earth,gravity causes both the orbit of the earth around the sun and the orbit of the moon around the earth
gravity causes orbits & planets in the solar system orbit the sun,gravity causes planets in the solar system to orbit the sun
planets in the solar system orbit the sun & gravity causes orbits,gravity causes planets in the solar system to orbit the sun
planets in the solar system orbit the sun & gravity causes orbits,gravity causes planets in the solar system to orbit the sun
gravity causes orbits & the moon orbits the earth,gravity causes the moon to orbit around the earth
planets in the solar system orbit the sun & gravity causes orbits,gravity causes the planets in the solar system to orbit the sun
uranus is located in the solar system & uranus is a kind of planet,uranus is a planet located in the solar system
uranus is a planet located in the solar system & planets in the solar system orbit the sun,uranus is a planet in the solar system that orbits around the sun
uranus is a planet in the solar system that orbits around the sun & gravity causes orbits,gravity causes uranus to orbit around the sun
the moon orbiting the earth occurs once per month & the moon 's orbit is elliptical,the moon orbits the earth in an elliptical orbit once per month
planetary orbits are mostly elliptical & planets in the solar system orbit the sun,planets in the solar system orbit the sun in an elliptical orbit
a planet is a kind of celestial object / body & earth is a kind of planet,earth is a kind of celestial object
"earth is a kind of celestial object & as distance from an object decreases , that object will appear larger & a star is a kind of celestial object / celestial body","as the distance from a star to earth decreases, the star will appear larger"
"as the distance from a star to earth decreases, the star will appear larger & the sun is the star that is closest to earth",the sun will appear larger than other stars because it is the closest star to earth
dehydrating food is used for preserving food & astronauts require preserved food for extended flights,dehydrating food can be used for preserving food for extended flights
a space probe can orbit / land on other planets & mars is a kind of planet,a space probe can land on mars
a space probe can land on mars & a space probe is used for collecting / analyzing materials / samples / information,a space probe can land on mars and collect and analyze samples
a space probe can land on mars and collect and analyze samples & the viking i lander was sent to mars and analyze atmospheric gases and soil samples,the viking i lander is a kind of space probe
high tide is a stage in the tide cycle process & low tide is a stage in the tide cycle process & the tide cycle occurs regularly twice per day,high tide and low tide in the tide cycle occur twice per day
